,State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price,Latitude,Longitude
0,Uttar Pradesh,Bijnor,Kiratpur,Gur(Jaggery),Red,FAQ,11/12/2022,2580,2670,2640,29.50512,78.2033
1,Uttar Pradesh,Bijnor,Kiratpur,Potato,Desi,FAQ,11/12/2022,1300,1400,1350,29.50512,78.2033
2,Bihar,Kishanganj,Bahadurganj,Cabbage,Cabbage,FAQ,11/12/2022,1300,1500,1400,26.2594,87.82096
3,Bihar,Kishanganj,Bahadurganj,Coriander(Leaves),Coriander,FAQ,11/12/2022,3600,4000,3800,26.2594,87.82096
4,Bihar,Nawada,Nawada,Mustard Oil,Mustard Oil,FAQ,11/12/2022,2600,2750,2700,24.8867,85.54364
5,Bihar,Kishanganj,Bahadurganj,Green Chilli,Green Chilly,FAQ,11/12/2022,3100,3400,3200,26.2594,87.82096
6,Bihar,Nawada,Nawada,Brinjal,Other,FAQ,11/12/2022,650,800,750,24.8867,85.54364
7,Telangana,Warangal,Jangaon,Paddy(Dhan)(Common),I.R. 64,FAQ,11/12/2022,204,204,204,17.72602,79.15236
8,Uttar Pradesh,Bijnor,Kiratpur,Banana - Green,Banana - Green,FAQ,11/12/2022,1250,1350,1300,29.50512,78.2033
9,Bihar,Kishanganj,Bahadurganj,Bottle gourd,Bottle Gourd,FAQ,11/12/2022,1800,2000,1900,26.2594,87.82096
